Age,Income,Gender,Marital_Status,Credit_Score,Num_Purchases,Membership_Years,Device_Used,Churn
56.0,32551.69189864394,Female,Divorced,629.8279497691593,4,13,Desktop,1
19.0,,Female,Married,678.8947926976748,10,1,Tablet,0
20.0,31763.699387491244,Male,Married,663.0209364739366,4,13,Mobile,1
66.0,,Other,Divorced,724.2414635187656,6,13,Tablet,1
54.0,47620.167561971204,Female,Divorced,522.1337988093544,6,6,Desktop,0
66.0,,Male,Single,,5,7,Tablet,0
34.0,44446.858657801255,Other,Single,733.9749422948763,4,6,Tablet,1
66.0,50349.61401328805,Female,Married,654.1505958950468,7,5,Tablet,0
19.0,40250.40182204795,Female,Married,570.0362224163308,3,6,Mobile,0
19.0,64058.35432302274,Other,Single,720.5255176378657,6,13,Tablet,1
45.0,47575.613818062935,Other,Divorced,604.6182810899413,5,14,Tablet,0
40.0,29880.8799347257,Male,Married,592.2973891555985,2,3,Tablet,1
54.0,28608.117009960544,Male,Divorced,583.4904972981545,5,9,Tablet,1
49.0,59092.476359171844,Female,Single,636.0920420935727,1,5,Tablet,0
,27698.438259494957,Other,Married,662.814215426101,3,2,Tablet,1
18.0,54746.39109573625,Other,Married,561.1629961707845,6,14,Tablet,1
36.0,56669.82778500439,Other,Single,575.5447886289039,6,14,Desktop,1
19.0,35069.669541139745,Female,Married,601.3861986896447,12,12,Tablet,1
61.0,63361.071256623356,Other,Single,583.1507946479352,3,10,Tablet,1
43.0,24233.095643575518,Other,Married,652.5730758584601,4,10,Mobile,0
49.0,54446.88400997838,Female,Single,675.2855117480616,3,7,Desktop,0
23.0,49387.130996059874,Male,Married,665.6711667186615,4,3,Tablet,1
49.0,48215.0303640366,Male,Divorced,665.7732322123462,0,1,Mobile,1
21.0,32331.550355291412,Female,Divorced,766.9694200702028,7,3,Tablet,0
28.0,35944.66993400111,Other,Divorced,679.6578519739008,7,9,Tablet,1
34.0,74282.03037530897,Female,Married,704.8774973522472,3,5,Tablet,1
55.0,68227.3251330763,Male,Married,620.9768975156119,4,7,Tablet,1
41.0,61131.268827856984,Male,Divorced,716.0804299863044,6,3,Tablet,0
22.0,64097.72155294532,Female,Divorced,617.6353233344674,4,4,Mobile,1
69.0,62690.20317006903,Female,Single,678.8013829312014,3,1,Tablet,0
51.0,45149.65681570687,,Single,554.0043192272333,4,3,Mobile,1
23.0,50714.05327721527,Female,Single,661.6363892391685,7,7,Tablet,1
39.0,27912.374329384867,Male,Divorced,581.7233835381463,5,4,Mobile,0
28.0,48654.56559788711,Female,Divorced,715.5224958138735,4,2,Desktop,0
65.0,67751.2137430878,Female,Divorced,711.311352339915,11,14,Tablet,1
33.0,40089.39127614297,Female,Single,617.3360828708635,2,5,Desktop,1
50.0,65347.118070308396,Male,Married,793.4702450037178,4,5,Desktop,1
26.0,51373.78608040645,Female,Divorced,629.9885192664567,5,2,Desktop,0
23.0,29219.422014954016,Male,Married,537.1586769529231,4,11,Tablet,1
33.0,33390.207299805326,Male,Married,595.4617420746124,4,6,Desktop,0
46.0,63789.54304561632,Female,Married,576.9101284349505,1,10,Mobile,1
20.0,58287.861278875775,Female,Single,676.5721471250379,2,4,Tablet,1
37.0,51526.46109481438,Male,Married,563.5245881329283,9,14,Desktop,1
53.0,45889.52278628082,Male,Divorced,612.2550188935628,6,1,Tablet,1
36.0,53158.51966442878,Other,Single,,7,3,Desktop,1
43.0,63204.443738798735,Male,Divorced,659.7052126298262,6,14,Mobile,1
20.0,72137.79920730928,Other,Divorced,649.1149331360755,4,9,Tablet,1
,72855.26299160907,Other,Single,658.8200363330847,10,10,Tablet,0
37.0,55579.39851137747,Other,Divorced,624.0649931744642,3,7,Desktop,1
49.0,47421.02464453219,Female,Divorced,537.7373561033569,9,13,Mobile,1
24.0,52193.720117282835,Female,Single,622.2213245478748,0,6,Tablet,1
69.0,57831.8053588262,Male,Divorced,682.81248490207,8,14,Desktop,1
58.0,57771.00415767637,Other,Married,640.4145507973417,7,1,Mobile,0
50.0,69619.79955710158,Female,Divorced,677.404186119135,1,9,Mobile,0
,81736.33582874983,Female,Married,608.925187934336,3,13,Mobile,1
56.0,46921.180555788706,Female,Divorced,719.603525591455,4,9,Mobile,1
35.0,,Female,Single,471.0577492770066,4,1,Tablet,0
57.0,67583.5887013759,Female,Single,659.9008359046348,5,14,Tablet,0
18.0,48487.65514722188,Other,Divorced,744.4216242984895,8,13,Mobile,0
28.0,72478.4725829762,Other,Single,754.8388961229024,8,13,Desktop,1
45.0,75284.72452128747,Other,Divorced,633.7721681530268,4,6,Desktop,0
42.0,43095.5683370923,,Single,557.1661291049982,1,7,Mobile,0
67.0,75983.22878728472,Male,Married,745.6530989640352,7,2,Mobile,1
40.0,66126.24231553945,Other,Divorced,646.3694383236108,3,10,Desktop,1
48.0,85528.38691968788,Female,Married,638.8721322511084,2,8,Mobile,1
47.0,43639.421270007515,Other,Married,587.5001751385588,7,8,Mobile,0
59.0,44698.59884396006,Male,Divorced,562.507876339922,2,6,Tablet,0
52.0,19600.0680538499,Female,Married,689.4704218247048,8,9,Tablet,0
24.0,58567.90880851943,Other,Divorced,696.8910018331062,6,3,Mobile,0
33.0,55628.768834280774,Other,Married,664.1080801259595,4,2,Mobile,1
43.0,41555.094926965,Other,Divorced,,6,2,Tablet,0
65.0,48772.23902767913,Female,Divorced,575.4500822423595,5,6,Mobile,1
69.0,30331.68484737327,Female,Single,549.7425941346075,3,7,Tablet,0
66.0,67976.67429247529,Male,Divorced,610.7618376745419,9,6,Tablet,0
19.0,42654.50788207535,Female,Divorced,579.5902504675726,5,11,Desktop,0
18.0,96410.73523431427,Female,Married,530.3483213296269,5,3,Tablet,1
65.0,47365.980489334506,Other,Divorced,695.5941508647134,6,5,Desktop,0
29.0,38605.717384275355,Female,Single,557.6655296960523,5,8,Desktop,1
,43815.303218977075,,Married,718.8745877001513,4,6,Tablet,1
54.0,28820.58535183623,Other,Married,677.5850197079425,3,2,Mobile,1
49.0,57234.07836054413,Female,Single,670.6038831332879,2,7,Tablet,1
26.0,43701.50450331317,Male,Married,766.5716332242064,6,8,Desktop,0
58.0,66968.79185596606,Male,Married,559.9938156154833,3,4,Tablet,0
52.0,45878.787572383735,Female,Married,711.1640397234157,4,12,Tablet,1
36.0,70766.6316752847,Male,Married,629.1650198885,6,1,Desktop,1
65.0,61361.83623975561,Other,Single,829.9749109640678,4,2,Tablet,0
33.0,50428.95165077516,Other,Single,623.3443898202553,7,4,Tablet,0
,73703.48881026232,Female,Married,612.0384164712067,9,7,Desktop,1
37.0,64284.40191555814,Male,Married,679.7875042400086,10,2,Mobile,0
41.0,94193.19239994838,Male,Single,,7,6,Desktop,0
50.0,43858.17132532693,Other,Single,596.9075926390092,6,2,Desktop,0
41.0,51149.24158187691,Female,Single,582.0806251244913,5,12,Tablet,1
,73530.63516516394,Male,Married,752.0743141871183,4,7,Desktop,1
28.0,26846.932822473314,,Married,568.5576857670005,2,2,Tablet,1
66.0,69754.15344848843,Male,Divorced,665.6161292266349,3,3,Tablet,1
25.0,56589.54136522206,Other,Single,723.9328897738267,4,9,Tablet,1
53.0,36676.83866829128,Other,Married,727.3146489809843,10,13,Desktop,0
55.0,29554.405121733176,Female,Single,,2,4,Desktop,0
57.0,39912.65790304574,Other,Married,635.5670639561966,1,14,Tablet,0
37.0,,Male,Single,621.9864549289939,4,5,Mobile,1
52.0,42656.908344627445,Other,Married,542.5486866133888,9,9,Mobile,0
65.0,59338.345000138725,Female,Divorced,687.6262168114081,6,7,Desktop,1
42.0,42855.49038546758,Female,Divorced,652.6952551944366,10,8,Tablet,1
52.0,70824.69052150712,Female,Single,750.8409556421316,6,11,Tablet,1
42.0,74899.21404087932,Male,Married,592.3756431889004,4,3,Desktop,1
46.0,69134.66723938662,,Married,726.2087591032387,4,11,Mobile,1
35.0,53459.613653965476,Male,Single,731.1463905198943,9,11,Desktop,1
63.0,15129.81091270296,Male,Married,653.2950180765521,5,4,Desktop,0
35.0,39444.53761951091,Male,Single,498.03969004164315,4,7,Tablet,1
19.0,47869.422098384195,Other,Married,614.1202639788996,2,4,Desktop,0
52.0,36591.985257427834,Male,Single,775.0109787012882,5,2,Mobile,1
33.0,47907.417867701435,Male,Married,670.7939040044337,4,14,Desktop,0
58.0,74151.01203040069,Other,Single,698.537979411032,5,10,Tablet,1
53.0,25313.35205727023,Male,Married,643.7583392855522,2,6,Mobile,1
50.0,77175.3808417854,Female,Divorced,634.358996309581,6,9,Tablet,0
21.0,63270.89632631206,Male,Married,,5,2,Desktop,1
50.0,54023.25212416543,,Single,705.6317451938714,4,1,Desktop,1
31.0,39295.75166388854,Female,Divorced,725.5776843305664,4,8,Desktop,0
38.0,36890.74481762862,Female,Married,583.4396400173318,2,1,Tablet,0
65.0,25606.734281168905,Female,Divorced,637.4801414944185,4,1,Desktop,1
37.0,75751.48220471581,Female,Married,628.0381105851997,6,3,Mobile,0
25.0,73064.17340111062,Male,Divorced,679.4107305790401,5,5,Mobile,0
24.0,28905.730571250766,Female,Single,611.8945492943634,7,13,Tablet,1
20.0,41710.58007640698,Female,Married,715.1938646228102,1,12,Tablet,0
34.0,56497.17153847863,Other,Married,654.9927021287142,2,9,Tablet,1
50.0,45507.36292741688,Female,Single,471.54038610907116,5,11,Desktop,0
65.0,21219.878644522734,Female,Divorced,680.990419263485,6,10,Mobile,1
29.0,40133.40859166467,Other,Single,,8,2,Mobile,1
68.0,,Other,Single,569.3556837814543,5,12,Mobile,1
39.0,41150.32114378334,Male,Divorced,678.6108854482202,9,12,Tablet,0
39.0,47547.98994946689,Other,Single,778.0971768827947,1,1,Tablet,1
63.0,32822.33863946929,Male,Married,657.8446462624767,3,1,Desktop,0
47.0,58816.44477925622,Other,Married,729.9140205030643,5,8,Tablet,1
55.0,51727.27698536876,Other,Married,619.0491520834436,4,10,Mobile,1
55.0,38869.70387664532,Male,Single,648.742499807999,2,10,Desktop,1
62.0,30430.169062888624,Other,Married,635.6765098451558,4,10,Tablet,0
68.0,71068.15061016314,Male,Married,622.901570155671,2,2,Tablet,1
25.0,25916.848900383797,Other,Married,639.6594568441847,3,13,Mobile,1
44.0,57557.23543384332,Female,Married,535.8522753352978,9,9,Desktop,0
44.0,17691.811329326403,Other,Married,626.8383905931693,5,9,Tablet,1
51.0,60608.17524518574,Male,Married,743.6464518798749,2,2,Tablet,1
38.0,64554.48330890091,Other,Single,582.5416960203717,6,3,Desktop,0
47.0,66421.75567459871,Male,Married,575.3706709968683,6,2,Desktop,0
50.0,47581.87297145198,Male,Married,654.2848659976329,6,6,Tablet,0
45.0,73760.05408345544,Female,Divorced,657.7828200350071,4,7,Tablet,1
64.0,84616.87542494101,Female,Single,,8,12,Mobile,0
50.0,45175.65295931055,Male,Single,642.0382998770752,5,6,Desktop,1
22.0,43234.92454805109,Other,Single,655.0304915120834,8,3,Tablet,1
65.0,52237.65890517404,Male,Single,625.4380658459701,9,12,Tablet,0
36.0,42834.79781158689,Male,Married,560.6942691290025,5,3,Tablet,0
21.0,40641.94705984819,,Married,645.0025692182544,6,12,Tablet,1
52.0,41948.92189637736,Other,Divorced,700.7217897509724,6,2,Mobile,0
66.0,75736.34012009368,Other,Divorced,686.0538238446634,6,2,Desktop,0
34.0,61578.22992553148,Other,Single,527.9030511142498,6,11,Tablet,1
61.0,,Male,Divorced,667.6347754316358,2,12,Desktop,0
45.0,13173.12461416571,Male,Divorced,587.5061331899982,2,5,Desktop,0
47.0,26833.032595902987,Female,Single,747.4514803654968,6,11,Tablet,0
46.0,57551.43623902817,Male,Single,672.8388848049866,8,11,Tablet,1
